Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_036,SAM_070,0.8,1.0,0.942653601,0.914502224,Cocaine
SAM_036,SAM_070,0.8,1.0,0.942653601,0.914502224,Acetaminophen
SAM_036,SAM_070,0.8,1.0,0.942653601,0.914502224,Diacetamate
SAM_036,SAM_070,0.8,1.0,0.942653601,0.914502224,Papaverine
SAM_009,SAM_011,0.666666667,0.876476594,0.927049676,0.824434166,Heroin
SAM_009,SAM_011,0.666666667,0.876476594,0.927049676,0.824434166,Phenacetin
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Cocaine
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Meconine
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Acetylcodeine
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Heroin
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Caffeine
SAM_012,SAM_049,0.6,0.944234498,0.865448984,0.803850039,Phenacetin
SAM_036,SAM_076,0.666666667,0.884841197,0.851731177,0.801586195,Cocaine
SAM_036,SAM_076,0.666666667,0.884841197,0.851731177,0.801586195,Acetaminophen
SAM_036,SAM_076,0.666666667,0.884841197,0.851731177,0.801586195,Diacetamate
SAM_036,SAM_076,0.666666667,0.884841197,0.851731177,0.801586195,Papaverine
SAM_021,SAM_069,0.571428571,0.926262578,0.890182593,0.796900161,Meconine
SAM_021,SAM_069,0.571428571,0.926262578,0.890182593,0.796900161,Cocaine
SAM_021,SAM_069,0.571428571,0.926262578,0.890182593,0.796900161,Acetaminophen
SAM_021,SAM_069,0.571428571,0.926262578,0.890182593,0.796900161,Phenacetin
SAM_081,SAM_093,0.555555556,0.930599644,0.880927512,0.78994657,Cocaine
SAM_081,SAM_093,0.555555556,0.930599644,0.880927512,0.78994657,Diacetamate
SAM_081,SAM_093,0.555555556,0.930599644,0.880927512,0.78994657,Acetylcodeine
SAM_081,SAM_093,0.555555556,0.930599644,0.880927512,0.78994657,Acetylthebaol
SAM_081,SAM_093,0.555555556,0.930599644,0.880927512,0.78994657,Caffeine
SAM_055,SAM_097,0.714285714,0.856311545,0.771800499,0.780709265,Diacetamate
SAM_055,SAM_097,0.714285714,0.856311545,0.771800499,0.780709265,Noscapine
SAM_055,SAM_097,0.714285714,0.856311545,0.771800499,0.780709265,Heroin
SAM_055,SAM_097,0.714285714,0.856311545,0.771800499,0.780709265,Caffeine
SAM_055,SAM_097,0.714285714,0.856311545,0.771800499,0.780709265,Phenacetin
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Cocaine
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Meconine
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Benzoic acid
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Acetylcodeine
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Caffeine
SAM_008,SAM_033,0.6,0.920483996,0.795787677,0.772327529,Phenacetin
SAM_008,SAM_049,0.555555556,0.902352223,0.813090421,0.75756031,Cocaine
SAM_008,SAM_049,0.555555556,0.902352223,0.813090421,0.75756031,Meconine
SAM_008,SAM_049,0.555555556,0.902352223,0.813090421,0.75756031,Acetylcodeine
SAM_008,SAM_049,0.555555556,0.902352223,0.813090421,0.75756031,Caffeine
SAM_008,SAM_049,0.555555556,0.902352223,0.813090421,0.75756031,Phenacetin
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Ecgonidine methyl ester
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Cocaine
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Diacetamate
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Noscapine
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Meconine
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Acetylcodeine
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Heroin
SAM_012,SAM_086,0.727272727,0.852195022,0.692146563,0.756554189,Caffeine
SAM_070,SAM_076,0.571428571,0.862084155,0.811203679,0.748868451,Cocaine
SAM_070,SAM_076,0.571428571,0.862084155,0.811203679,0.748868451,Acetaminophen
SAM_070,SAM_076,0.571428571,0.862084155,0.811203679,0.748868451,Diacetamate
SAM_070,SAM_076,0.571428571,0.862084155,0.811203679,0.748868451,Papaverine
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Cocaine
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Diacetamate
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Meconine
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Acetylcodeine
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Caffeine
SAM_012,SAM_033,0.5,0.9239289,0.810706941,0.745536897,Phenacetin
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Cocaine
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Hydrocotarnine
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Meconine
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Acetylcodeine
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Caffeine
SAM_027,SAM_033,0.5,0.924455743,0.795367068,0.740495198,Phenacetin
SAM_049,SAM_081,0.5,0.897722968,0.814913385,0.73831913,Cocaine
SAM_049,SAM_081,0.5,0.897722968,0.814913385,0.73831913,Acetylcodeine
SAM_049,SAM_081,0.5,0.897722968,0.814913385,0.73831913,Heroin
SAM_049,SAM_081,0.5,0.897722968,0.814913385,0.73831913,Caffeine
SAM_049,SAM_081,0.5,0.897722968,0.814913385,0.73831913,Phenacetin
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Ecgonidine methyl ester
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Meconine
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Acetylcodeine
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Papaverine
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Caffeine
SAM_059,SAM_088,0.6,0.874872522,0.734766269,0.736528464,Phenacetin
SAM_027,SAM_049,0.454545455,0.916244127,0.831004978,0.734902254,Cocaine
SAM_027,SAM_049,0.454545455,0.916244127,0.831004978,0.734902254,Meconine
SAM_027,SAM_049,0.454545455,0.916244127,0.831004978,0.734902254,Acetylcodeine
SAM_027,SAM_049,0.454545455,0.916244127,0.831004978,0.734902254,Caffeine
SAM_027,SAM_049,0.454545455,0.916244127,0.831004978,0.734902254,Phenacetin
SAM_044,SAM_096,0.5,0.863582542,0.83005571,0.73220118,Meconine
SAM_044,SAM_096,0.5,0.863582542,0.83005571,0.73220118,Cocaine
SAM_044,SAM_096,0.5,0.863582542,0.83005571,0.73220118,Heroin
SAM_044,SAM_096,0.5,0.863582542,0.83005571,0.73220118,Acetaminophen
SAM_001,SAM_059,0.7,0.838850309,0.652578495,0.72969729,Ecgonidine methyl ester
SAM_001,SAM_059,0.7,0.838850309,0.652578495,0.72969729,Meconine
SAM_001,SAM_059,0.7,0.838850309,0.652578495,0.72969729,Acetylcodeine
