Sample_1,Sample_2,Joint_Similarity,Common_Substance,Category
SAM_036,SAM_070,0.8668797028755009,Papaverine,Precursor
SAM_036,SAM_070,0.8668797028755009,Acetaminophen,Adulterant
SAM_036,SAM_070,0.8668797028755009,Cocaine,Active
SAM_036,SAM_070,0.8668797028755009,Diacetamate,Unknown
SAM_009,SAM_011,0.7946521166069722,Heroin,Active
SAM_009,SAM_011,0.7946521166069722,Phenacetin,Adulterant
SAM_036,SAM_076,0.7704779275330709,Papaverine,Precursor
SAM_036,SAM_076,0.7704779275330709,Acetaminophen,Adulterant
SAM_036,SAM_076,0.7704779275330709,Cocaine,Active
SAM_036,SAM_076,0.7704779275330709,Diacetamate,Unknown
SAM_012,SAM_049,0.7637994489427409,Meconine,Precursor
SAM_012,SAM_049,0.7637994489427409,Caffeine,Adulterant
SAM_012,SAM_049,0.7637994489427409,Cocaine,Active
SAM_012,SAM_049,0.7637994489427409,Acetylcodeine,Precursor
SAM_012,SAM_049,0.7637994489427409,Heroin,Active
SAM_012,SAM_049,0.7637994489427409,Phenacetin,Adulterant
SAM_021,SAM_069,0.7594646905083879,Meconine,Precursor
SAM_021,SAM_069,0.7594646905083879,Acetaminophen,Adulterant
SAM_021,SAM_069,0.7594646905083879,Cocaine,Active
SAM_021,SAM_069,0.7594646905083879,Phenacetin,Adulterant
SAM_055,SAM_097,0.7541883821408237,Diacetamate,Unknown
SAM_055,SAM_097,0.7541883821408237,Caffeine,Adulterant
SAM_055,SAM_097,0.7541883821408237,Noscapine,Precursor
SAM_055,SAM_097,0.7541883821408237,Heroin,Active
SAM_055,SAM_097,0.7541883821408237,Phenacetin,Adulterant
SAM_081,SAM_093,0.7518725731487053,Diacetamate,Unknown
SAM_081,SAM_093,0.7518725731487053,Caffeine,Adulterant
SAM_081,SAM_093,0.7518725731487053,Cocaine,Active
SAM_081,SAM_093,0.7518725731487053,Acetylcodeine,Precursor
SAM_081,SAM_093,0.7518725731487053,Acetylthebaol,Precursor
SAM_008,SAM_033,0.7357500432703732,Meconine,Precursor
SAM_008,SAM_033,0.7357500432703732,Caffeine,Adulterant
SAM_008,SAM_033,0.7357500432703732,Cocaine,Active
SAM_008,SAM_033,0.7357500432703732,Acetylcodeine,Precursor
SAM_008,SAM_033,0.7357500432703732,Benzoic acid,Unknown
