Sample_1,Sample_2,Cosine_Similarity
SAM_036,SAM_070,0.942653600841442
SAM_009,SAM_011,0.9270496761493534
SAM_021,SAM_069,0.8901825926199299
SAM_081,SAM_093,0.8809275124135361
SAM_012,SAM_049,0.8654489841034584
SAM_036,SAM_076,0.8517311768994991
SAM_027,SAM_049,0.8310049777174358
SAM_044,SAM_096,0.8300557101160021
SAM_045,SAM_062,0.8239396460604431
SAM_016,SAM_053,0.8215174823634704
SAM_012,SAM_027,0.8213637736841826
SAM_015,SAM_043,0.819946153128643
SAM_049,SAM_081,0.8149133845939217
SAM_008,SAM_049,0.8130904214352233
SAM_070,SAM_076,0.8112036794945006
SAM_012,SAM_033,0.8107069407346006
SAM_016,SAM_079,0.7983539428873632
SAM_008,SAM_033,0.7957876765455434
SAM_027,SAM_033,0.7953670676095904
SAM_052,SAM_096,0.7819640809580505
SAM_011,SAM_046,0.7784911651139461
SAM_074,SAM_097,0.7728313178103464
SAM_055,SAM_097,0.7718004991524673
SAM_024,SAM_056,0.7686468209255798
SAM_006,SAM_023,0.7672875282668572
SAM_008,SAM_052,0.7652722514289314
SAM_035,SAM_069,0.7633035480012648
SAM_022,SAM_030,0.7597905182681656
SAM_033,SAM_049,0.7573746867940164
SAM_032,SAM_085,0.7560470091680178
SAM_008,SAM_012,0.7559611547696778
SAM_012,SAM_028,0.7556452564717322
SAM_008,SAM_027,0.7553560230729509
SAM_002,SAM_088,0.7544002544910005
SAM_081,SAM_097,0.7535411636510962
SAM_002,SAM_090,0.7523456201679903
SAM_050,SAM_054,0.7515852224160652
SAM_057,SAM_058,0.7514859597183932
SAM_022,SAM_043,0.7495826219796607
SAM_021,SAM_049,0.7454708470400456
SAM_071,SAM_081,0.7396499532726822
SAM_044,SAM_051,0.7372990257531356
SAM_016,SAM_049,0.7370772962281448
SAM_057,SAM_067,0.7355747352461762
SAM_027,SAM_092,0.7350556241906585
SAM_059,SAM_088,0.7347662691085605
SAM_036,SAM_060,0.732939469017097
SAM_059,SAM_090,0.7311579280361586
SAM_027,SAM_081,0.7278343205978435
SAM_009,SAM_046,0.7248102349559388
SAM_028,SAM_086,0.7241654035061397
SAM_060,SAM_076,0.7231838135536531
SAM_027,SAM_028,0.722071666894287
SAM_012,SAM_088,0.7211860140693767
SAM_028,SAM_075,0.7204058022268894
SAM_016,SAM_021,0.7185190437339638
SAM_036,SAM_053,0.7179676596837565
SAM_005,SAM_089,0.716719368809923
SAM_028,SAM_078,0.7154788838845564
SAM_017,SAM_074,0.7137243142543918
SAM_051,SAM_069,0.7118641961540578
SAM_054,SAM_082,0.7112668611535456
SAM_049,SAM_097,0.7071489550511099
SAM_074,SAM_096,0.7035551574078555
SAM_021,SAM_044,0.7027227560314067
SAM_078,SAM_086,0.7011020528951972
SAM_047,SAM_100,0.7003125836264557
SAM_079,SAM_096,0.6998085668674663
SAM_038,SAM_090,0.6964723199331632
SAM_005,SAM_077,0.6927588422890288
SAM_012,SAM_086,0.6921465632878356
SAM_012,SAM_059,0.6917589932373691
SAM_024,SAM_075,0.6915772088196623
SAM_081,SAM_086,0.690793812278004
SAM_077,SAM_089,0.6907255002920165
SAM_013,SAM_050,0.6902515372506618
SAM_013,SAM_094,0.6881223546127844
SAM_007,SAM_070,0.687445807639905
SAM_021,SAM_027,0.6871393073400834
SAM_094,SAM_098,0.6870453529252986
SAM_056,SAM_093,0.6861923696026615
SAM_004,SAM_061,0.6856638078593821
SAM_022,SAM_059,0.6854348589993507
SAM_043,SAM_066,0.6852901284107158
SAM_078,SAM_082,0.685242772537844
SAM_008,SAM_021,0.6845972398143276
SAM_008,SAM_097,0.6840053051832886
SAM_049,SAM_052,0.682944397197374
SAM_033,SAM_081,0.6809925818708045
SAM_012,SAM_078,0.6805318113217131
SAM_005,SAM_006,0.6791914409573491
SAM_059,SAM_094,0.6764321987466458
SAM_016,SAM_027,0.6754092689544751
SAM_027,SAM_086,0.6747332161649839
SAM_024,SAM_091,0.6733697131318975
SAM_032,SAM_063,0.6731914311375466
SAM_033,SAM_086,0.6729594835875694
SAM_007,SAM_044,0.6707025160812798
SAM_002,SAM_059,0.6694166195532945
SAM_010,SAM_043,0.6690795758350546
SAM_012,SAM_081,0.6683536006764166
SAM_074,SAM_081,0.6669443922452165
SAM_027,SAM_078,0.6667151996143895
SAM_060,SAM_070,0.6663569182539801
SAM_035,SAM_051,0.6647412443999872
SAM_015,SAM_042,0.6636989246013666
SAM_013,SAM_098,0.6636390142496014
SAM_088,SAM_098,0.6600420482105686
SAM_021,SAM_051,0.655901784469641
SAM_017,SAM_096,0.655753748485233
SAM_049,SAM_079,0.6556763660055374
SAM_019,SAM_022,0.6537177312774953
SAM_004,SAM_051,0.6536447997421367
SAM_090,SAM_094,0.6534177429853323
SAM_001,SAM_059,0.6525784949552196
SAM_044,SAM_069,0.6516829071433968
SAM_043,SAM_059,0.6505656562710416
SAM_002,SAM_076,0.6485231679254227
SAM_027,SAM_073,0.64844946435126
SAM_063,SAM_085,0.647751364857574
SAM_055,SAM_065,0.6466661160135235
SAM_023,SAM_090,0.6454730117762397
SAM_013,SAM_022,0.6450001107489832
SAM_006,SAM_059,0.6449875148133899
SAM_022,SAM_069,0.6442738877789504
SAM_077,SAM_100,0.6436191752886282
SAM_011,SAM_090,0.6427293001074552
SAM_006,SAM_033,0.6422393576262825
SAM_044,SAM_074,0.6421299284086541
SAM_007,SAM_036,0.641686439536839
SAM_027,SAM_093,0.6406895126492065
SAM_007,SAM_027,0.6405251008569222
SAM_028,SAM_033,0.6396867254000422
SAM_033,SAM_078,0.6394522836931155
SAM_079,SAM_086,0.6393266082671035
SAM_011,SAM_094,0.6376692891322264
SAM_049,SAM_069,0.6367322097044059
SAM_047,SAM_074,0.6365382838237391
SAM_035,SAM_061,0.6364790776996039
SAM_044,SAM_095,0.6361724157830241
SAM_019,SAM_043,0.6361166719738433
SAM_006,SAM_012,0.6359858172808482
SAM_017,SAM_027,0.6356835669063111
SAM_017,SAM_028,0.6354351242756183
SAM_042,SAM_064,0.6353204804010586
SAM_051,SAM_061,0.6343092408407611
SAM_014,SAM_064,0.6338686685749537
SAM_053,SAM_079,0.6333190764979775
SAM_001,SAM_051,0.6325532147893885
SAM_017,SAM_075,0.6324024983421239
SAM_055,SAM_067,0.6309576146717627
SAM_096,SAM_097,0.6303942588314777
SAM_001,SAM_086,0.6290066741848804
SAM_038,SAM_055,0.6285773101865957
SAM_071,SAM_080,0.628500357708921
SAM_008,SAM_059,0.6284875773727764
SAM_021,SAM_096,0.6282259902081644
SAM_030,SAM_043,0.6278446952695335
SAM_007,SAM_021,0.6278158565935748
SAM_027,SAM_075,0.6277429523580581
SAM_004,SAM_057,0.6274609648352294
SAM_019,SAM_087,0.6271393810291169
SAM_008,SAM_016,0.6269644287174085
SAM_079,SAM_080,0.6266058508889092
SAM_057,SAM_061,0.6264672170648096
SAM_012,SAM_052,0.6261129340223085
SAM_080,SAM_081,0.6260851032870707
SAM_004,SAM_094,0.626037689741247
SAM_080,SAM_093,0.6251038792480832
SAM_022,SAM_087,0.6234755326386465
SAM_008,SAM_088,0.6231069006379146
SAM_054,SAM_089,0.6217434877488254
SAM_012,SAM_023,0.6215676478732763
SAM_006,SAM_040,0.621408514916291
SAM_008,SAM_081,0.6205018810531273
SAM_008,SAM_096,0.6200233257006255
SAM_086,SAM_093,0.6193798792557083
SAM_056,SAM_081,0.619011682315796
SAM_030,SAM_069,0.618226503570099
SAM_001,SAM_028,0.6180620895621078
SAM_054,SAM_078,0.6176158208175587
SAM_071,SAM_074,0.6176100839106998
SAM_044,SAM_079,0.617540778880505
SAM_086,SAM_097,0.6171462693932124
SAM_026,SAM_082,0.6171315030128824
SAM_008,SAM_043,0.616570739243567
SAM_050,SAM_094,0.6156820569918127
SAM_030,SAM_040,0.6150665129370761
SAM_042,SAM_072,0.6150660843494743
SAM_028,SAM_071,0.6149635146966884
SAM_054,SAM_088,0.6145309479746636
SAM_004,SAM_044,0.6139384247002092
SAM_053,SAM_076,0.6138720500225736
SAM_041,SAM_072,0.6130099325198767
SAM_017,SAM_044,0.6126501040378357
SAM_041,SAM_079,0.6124431759048858
SAM_071,SAM_079,0.6121956450967303
SAM_061,SAM_067,0.6121695700037382
SAM_049,SAM_059,0.6118945054489192
SAM_007,SAM_017,0.6117613154718151
SAM_079,SAM_081,0.6117036418420224
SAM_074,SAM_080,0.6112262011959984
SAM_049,SAM_071,0.6107609451490295
SAM_028,SAM_088,0.6103836648869592
SAM_057,SAM_070,0.6099441342334412
SAM_045,SAM_072,0.6094149903564727
SAM_023,SAM_065,0.608674985615107
SAM_010,SAM_042,0.6085129169592555
SAM_027,SAM_052,0.6083272909057829
SAM_071,SAM_093,0.6080603658583088
SAM_067,SAM_084,0.607284956132469
SAM_055,SAM_057,0.6068614952023575
SAM_031,SAM_095,0.6066945984380177
SAM_032,SAM_045,0.6064239042063236
SAM_047,SAM_071,0.6061247065211144
SAM_007,SAM_069,0.6057771788918745
SAM_022,SAM_094,0.6056301505688267
SAM_006,SAM_090,0.605330458698252
SAM_021,SAM_052,0.6049047481433054
SAM_007,SAM_039,0.6047739480636956
SAM_052,SAM_097,0.6046991713160738
SAM_023,SAM_055,0.6038129645308854
SAM_012,SAM_021,0.6032905841144712
SAM_037,SAM_056,0.6031046577236744
SAM_034,SAM_097,0.602717493593322
SAM_059,SAM_098,0.6020787978859028
SAM_044,SAM_080,0.6017285006371307
SAM_016,SAM_096,0.6016648847011141
SAM_010,SAM_015,0.6016587821817263
SAM_001,SAM_072,0.6016212881696827
SAM_072,SAM_086,0.6006090649738488
SAM_074,SAM_095,0.599988494685415
SAM_079,SAM_087,0.5999584609196409
SAM_067,SAM_070,0.599907443512865
SAM_045,SAM_063,0.5998770879299609
SAM_004,SAM_058,0.5997843121743205
SAM_054,SAM_079,0.5994383092200599
SAM_012,SAM_054,0.5992725605768274
SAM_021,SAM_023,0.5977160456008058
SAM_049,SAM_086,0.5976835615953072
SAM_028,SAM_054,0.5974969998636934
SAM_005,SAM_100,0.5974672632290245
SAM_052,SAM_086,0.597243844141078
SAM_050,SAM_061,0.5972144868846256
SAM_007,SAM_074,0.5968809429013605
SAM_033,SAM_092,0.5962702994977958
SAM_038,SAM_059,0.596043285626675
SAM_005,SAM_032,0.5955542591949369
SAM_009,SAM_094,0.5954164722566284
SAM_008,SAM_086,0.5953519703813874
SAM_022,SAM_098,0.5948626864328787
SAM_012,SAM_041,0.59436825609629
SAM_007,SAM_051,0.5938314075973269
SAM_006,SAM_073,0.5936152982957493
SAM_088,SAM_094,0.5935694291653255
SAM_009,SAM_090,0.5928471541803481
SAM_027,SAM_079,0.5924476185629535
SAM_055,SAM_086,0.5914669163135805
SAM_011,SAM_055,0.5903225668324684
SAM_049,SAM_093,0.5898645270877139
SAM_016,SAM_052,0.5898076375571321
SAM_071,SAM_086,0.5890225021110407
SAM_065,SAM_097,0.5889691083180775
SAM_017,SAM_071,0.5875625992468588
SAM_007,SAM_076,0.5874994856932607
SAM_010,SAM_030,0.5874617677648358
SAM_046,SAM_050,0.5874246512702392
SAM_012,SAM_082,0.5871701037210918
SAM_049,SAM_096,0.5871496334209301
SAM_039,SAM_058,0.5868034731891348
SAM_028,SAM_081,0.5867566091429172
SAM_039,SAM_051,0.5864264131890546
SAM_002,SAM_006,0.5861707511101047
SAM_010,SAM_022,0.5857538515275944
SAM_001,SAM_041,0.5853086423087892
SAM_006,SAM_049,0.5850128741921599
SAM_044,SAM_070,0.5846692923214588
SAM_027,SAM_082,0.5846043385854296
SAM_013,SAM_087,0.5838993988621282
SAM_033,SAM_071,0.5837914524632085
SAM_027,SAM_088,0.5834525793105536
SAM_047,SAM_081,0.5829886840721346
SAM_016,SAM_080,0.5829677212707773
SAM_035,SAM_070,0.5819309640158843
SAM_006,SAM_027,0.5818290160683196
SAM_027,SAM_059,0.5805439879134141
SAM_014,SAM_086,0.5804833316550925
SAM_001,SAM_027,0.5804578836336799
SAM_056,SAM_072,0.5795807627457723
SAM_001,SAM_079,0.5794078563832965
SAM_052,SAM_079,0.5784751032601674
SAM_070,SAM_074,0.5781202017865203
SAM_012,SAM_038,0.577863248081695
SAM_081,SAM_092,0.5777412789990144
SAM_063,SAM_075,0.5773127693028179
SAM_007,SAM_060,0.5770322272791506
SAM_059,SAM_069,0.5764993632648896
SAM_012,SAM_051,0.5764982783333269
SAM_011,SAM_038,0.5760438599745257
SAM_051,SAM_096,0.5755700171471451
SAM_008,SAM_069,0.5751298392205639
SAM_061,SAM_070,0.5750901833287498
SAM_069,SAM_076,0.5745946851315881
SAM_041,SAM_090,0.5744291278564773
SAM_023,SAM_033,0.5738602986459235
SAM_051,SAM_054,0.5732623896910175
SAM_050,SAM_087,0.5732428883600026
SAM_041,SAM_052,0.5728739366189138
SAM_021,SAM_073,0.5727992452607383
SAM_041,SAM_086,0.5722226414653057
SAM_017,SAM_047,0.571832740709137
SAM_049,SAM_092,0.5717273227531389
SAM_017,SAM_051,0.5711926651454302
SAM_089,SAM_094,0.5711317510286482
SAM_029,SAM_048,0.5704734274698489
SAM_049,SAM_088,0.5703191100454229
SAM_027,SAM_071,0.5702933861905902
SAM_056,SAM_091,0.5692921345264982
SAM_023,SAM_034,0.5687184629000012
SAM_054,SAM_059,0.5687125861219158
SAM_052,SAM_088,0.5686688463835037
SAM_088,SAM_090,0.5680095140146981
SAM_070,SAM_080,0.5674266912581967
SAM_021,SAM_035,0.5670864777396875
SAM_036,SAM_057,0.5661601138969042
SAM_050,SAM_089,0.5655461550093541
SAM_024,SAM_027,0.5644515013286182
SAM_004,SAM_090,0.5641279734638157
SAM_027,SAM_068,0.5637950855233469
SAM_001,SAM_038,0.5634525716915172
SAM_024,SAM_037,0.5631925891945588
SAM_014,SAM_099,0.5630609596774555
SAM_072,SAM_079,0.5625311875334605
SAM_041,SAM_051,0.5624810014814977
SAM_030,SAM_049,0.5624795283025682
SAM_016,SAM_036,0.5624724276860757
SAM_049,SAM_080,0.5614119991949681
SAM_041,SAM_054,0.5613318563985842
SAM_071,SAM_087,0.5612988188413824
SAM_001,SAM_017,0.5609208849726299
SAM_013,SAM_088,0.5602965434229473
SAM_001,SAM_004,0.5590835977226615
SAM_038,SAM_086,0.5584622091814088
SAM_006,SAM_030,0.5583300471306062
SAM_010,SAM_082,0.5583046070914076
SAM_037,SAM_082,0.5579222714181141
SAM_041,SAM_082,0.5572156849449358
SAM_079,SAM_094,0.5569608913012997
SAM_007,SAM_095,0.5567222262756367
SAM_028,SAM_049,0.555758994275969
SAM_033,SAM_065,0.5555933764523623
SAM_014,SAM_057,0.5555836882496334
SAM_025,SAM_052,0.5551081990279951
SAM_006,SAM_065,0.5549845628615501
SAM_006,SAM_021,0.5548708947222852
SAM_014,SAM_018,0.5544602966994971
SAM_006,SAM_069,0.5544477685145185
SAM_014,SAM_061,0.554419504514646
SAM_074,SAM_093,0.5543613175274009
SAM_016,SAM_044,0.5539323768101166
SAM_006,SAM_008,0.5534756523499978
SAM_001,SAM_039,0.5530795750930221
SAM_015,SAM_019,0.5526300112194379
SAM_008,SAM_029,0.5526145871520345
SAM_016,SAM_081,0.5524898870730801
SAM_086,SAM_088,0.5522680984312812
SAM_025,SAM_068,0.5519314753668539
SAM_029,SAM_074,0.5514941291810503
SAM_027,SAM_069,0.5507039169219916
SAM_073,SAM_092,0.5503635735142011
SAM_046,SAM_062,0.5498562049618698
SAM_033,SAM_097,0.5492864436500831
SAM_001,SAM_007,0.5490793004906197
SAM_039,SAM_069,0.5484902343538753
SAM_002,SAM_099,0.5483773306732044
SAM_044,SAM_057,0.5482199605154652
SAM_017,SAM_097,0.5478225209732295
SAM_006,SAM_046,0.5477834262473982
SAM_068,SAM_073,0.5471921397855718
SAM_010,SAM_040,0.547062665994865
SAM_008,SAM_017,0.546960465194552
SAM_053,SAM_070,0.5467572149998001
SAM_027,SAM_096,0.5467553838333025
SAM_006,SAM_055,0.5467271204910333
SAM_007,SAM_073,0.54650885654793
SAM_002,SAM_023,0.5463580430727281
SAM_038,SAM_065,0.5461027545832671
SAM_072,SAM_082,0.5455650789480128
SAM_007,SAM_016,0.5451740030633799
SAM_064,SAM_078,0.5449939968297112
SAM_009,SAM_055,0.544170022035274
SAM_012,SAM_071,0.5440753487503037
SAM_088,SAM_099,0.5440373202285784
SAM_036,SAM_067,0.5440262048526648
SAM_033,SAM_038,0.5435739952011397
SAM_030,SAM_059,0.5435363945031004
SAM_008,SAM_028,0.5431058448217613
SAM_057,SAM_097,0.5424145889018743
SAM_016,SAM_076,0.5421427112789088
SAM_058,SAM_067,0.541951951129907
SAM_027,SAM_039,0.5418850555456088
SAM_045,SAM_046,0.5416829712413093
SAM_056,SAM_086,0.5415831483969925
SAM_017,SAM_086,0.5413759355956287
SAM_027,SAM_080,0.5412945898578839
SAM_007,SAM_047,0.5412425270701452
SAM_022,SAM_049,0.5408924901265224
SAM_069,SAM_073,0.5408319801091497
