Sample_1,Sample_2,Euclidean_Distance,Euclidean_Similarity
SAM_036,SAM_070,0.1686484405501573,0.8556893290588196
SAM_012,SAM_049,0.2152601572516382,0.8228690737804998
SAM_045,SAM_062,0.2214612449165768,0.8186915501099652
SAM_012,SAM_027,0.22191571237747,0.818387053927238
SAM_081,SAM_093,0.2266568794455619,0.8152238957417263
SAM_021,SAM_069,0.2302820255686492,0.8128217589278275
SAM_027,SAM_033,0.2317922723043199,0.8118251936499772
SAM_012,SAM_033,0.2322326353034818,0.8115350716658416
SAM_008,SAM_033,0.2351120656197805,0.8096431310451161
SAM_027,SAM_049,0.2386559701746428,0.8073266702609976
SAM_008,SAM_049,0.2502675484356691,0.7998288056433976
SAM_008,SAM_027,0.2513227277824271,0.799154349072028
SAM_049,SAM_081,0.2541369209697795,0.7973611041023619
SAM_005,SAM_089,0.2592542034374757,0.7941208353883028
SAM_008,SAM_012,0.2621205907592915,0.7923173168408576
SAM_050,SAM_054,0.2623553085035635,0.7921699962472786
SAM_052,SAM_096,0.2627873737453914,0.7918989536884808
SAM_008,SAM_052,0.2631790538777734,0.7916534056910993
SAM_036,SAM_076,0.264904177203758,0.790573719355276
SAM_027,SAM_092,0.2714729979206035,0.7864893722756389
SAM_009,SAM_011,0.271895749323155,0.7862279597460361
SAM_015,SAM_043,0.272123742992044,0.7860870497141992
SAM_059,SAM_088,0.2732365156782673,0.7854000318764726
SAM_071,SAM_081,0.2751529587338649,0.7842196445145906
SAM_004,SAM_061,0.2760730448631303,0.7836541991271813
SAM_057,SAM_058,0.2781746014646196,0.7823657259768203
SAM_012,SAM_088,0.2813476113280509,0.7804283483726571
SAM_054,SAM_082,0.2815873177186785,0.7802823780903786
SAM_027,SAM_081,0.2822030267378435,0.7799076894586506
SAM_044,SAM_096,0.2826732707561859,0.7796217655728189
SAM_033,SAM_049,0.2837654468042224,0.778958494707408
SAM_070,SAM_076,0.2839257008444287,0.7788612684848564
SAM_016,SAM_079,0.2857499693788261,0.777756191962518
SAM_027,SAM_086,0.286994337226364,0.7770041958033216
SAM_024,SAM_056,0.2887294893148256,0.7759580333120697
SAM_055,SAM_097,0.2887507496094166,0.7759452324687852
SAM_027,SAM_073,0.2896543424497551,0.7754015685322752
SAM_081,SAM_097,0.2918814851956184,0.7740648128017553
SAM_012,SAM_086,0.2921915536082451,0.7738790717271403
SAM_033,SAM_086,0.295120293948078,0.7721290482998875
SAM_005,SAM_006,0.2971791964455117,0.7709035133620455
SAM_012,SAM_059,0.2999430470939441,0.7692644706516378
SAM_054,SAM_089,0.3016023955475155,0.7682837734632109
SAM_081,SAM_086,0.3019569295445958,0.7680745632267454
SAM_001,SAM_086,0.3025652521357996,0.7677158578891252
SAM_079,SAM_096,0.303056509581959,0.7674264259811846
SAM_001,SAM_059,0.3033457613021814,0.7672561109194027
SAM_060,SAM_076,0.3043948058032528,0.7666390540279674
SAM_035,SAM_069,0.304971929363999,0.7663000080678881
SAM_074,SAM_097,0.3049742220254033,0.7662986617834766
SAM_017,SAM_027,0.305922305005699,0.7657423387034009
SAM_078,SAM_086,0.3073100460447071,0.7649294848039454
SAM_001,SAM_041,0.3075787855168168,0.7647722730563825
SAM_043,SAM_059,0.3081225702541117,0.7644543582836761
SAM_033,SAM_081,0.3099119358785653,0.763410098503526
SAM_002,SAM_088,0.3115818114075337,0.7624381424799134
SAM_013,SAM_050,0.3117592681862081,0.7623349986943238
SAM_010,SAM_043,0.3118756061316755,0.7622673943520436
SAM_008,SAM_043,0.315310873107795,0.7602765402807143
SAM_079,SAM_086,0.3160055773241985,0.7598751990346995
SAM_059,SAM_090,0.3172555028679565,0.7591541639589122
SAM_017,SAM_096,0.3177146420925544,0.7588896473154326
SAM_041,SAM_079,0.3183994959166864,0.7584954356378129
SAM_001,SAM_027,0.3184304021289425,0.758477655237049
SAM_006,SAM_033,0.3187462482916465,0.7582959961368138
SAM_008,SAM_088,0.3188979468419325,0.7582087775589267
SAM_008,SAM_097,0.3198161043474827,0.7576813138633433
SAM_078,SAM_082,0.3198936348225766,0.7576368077071775
SAM_071,SAM_086,0.3201907206650436,0.7574663147884056
SAM_004,SAM_058,0.3203346962163169,0.757383717072421
SAM_012,SAM_081,0.3204028278589313,0.7573446367284195
SAM_041,SAM_086,0.3207560398496028,0.757142098789018
SAM_054,SAM_088,0.3208844753178315,0.7570684784976217
SAM_006,SAM_059,0.3216333906795126,0.7566394788844234
SAM_008,SAM_059,0.3217548886963491,0.7565699272626131
SAM_027,SAM_078,0.3222710269323012,0.7562746060616806
SAM_014,SAM_086,0.3226935967756409,0.7560329939131193
SAM_017,SAM_071,0.3231447219126439,0.7557752250671953
SAM_071,SAM_079,0.323161801734054,0.7557654692641987
SAM_012,SAM_078,0.3236997500771355,0.7554583280247106
SAM_027,SAM_071,0.3241628140302339,0.7551941418415089
SAM_007,SAM_027,0.324582766794542,0.7549547110747753
SAM_001,SAM_004,0.3251615507713051,0.7546249733988689
SAM_012,SAM_041,0.3256721272998351,0.7543343330577729
SAM_008,SAM_086,0.3258949767946723,0.7542075484873488
SAM_041,SAM_054,0.3260881883785427,0.7540976601433553
SAM_014,SAM_061,0.326387566552404,0.7539274531947229
SAM_006,SAM_012,0.3269365493486466,0.7536155368475381
SAM_006,SAM_073,0.3273108748575274,0.7534030037291295
SAM_049,SAM_097,0.3274300358855307,0.7533353720845245
SAM_033,SAM_071,0.3278161092746969,0.7531163336662917
SAM_050,SAM_061,0.3279799701201279,0.7530234058496688
SAM_002,SAM_090,0.3292537513833365,0.7523018076565994
SAM_027,SAM_088,0.3296747124060321,0.7520636368202496
SAM_016,SAM_049,0.3302946433110896,0.7517131674761993
SAM_049,SAM_052,0.3303994188856874,0.7516539663235703
SAM_017,SAM_074,0.3304748103865103,0.7516113737692595
SAM_001,SAM_017,0.3315820548521888,0.7509863897279723
SAM_012,SAM_028,0.3322159085594788,0.7506290786463412
SAM_001,SAM_038,0.3325201851015965,0.7504576749985639
SAM_027,SAM_079,0.3332372576708673,0.7500540464545489
SAM_019,SAM_043,0.3335030872420824,0.7499045255816955
SAM_038,SAM_090,0.333813009782423,0.7497302790314844
SAM_057,SAM_061,0.3338535466338496,0.7497074941425377
SAM_054,SAM_079,0.3338803890617118,0.7496924073555257
SAM_027,SAM_082,0.3338820594161956,0.7496914685528293
SAM_050,SAM_089,0.3340245740959788,0.7496113785442555
SAM_012,SAM_054,0.3340508618459171,0.7495966072959969
SAM_008,SAM_096,0.3341035857335266,0.7495669831740784
SAM_004,SAM_057,0.3343051996305172,0.7494537233887048
SAM_027,SAM_052,0.3344398587190229,0.7493780955853163
SAM_022,SAM_043,0.3346971504210934,0.7492336367725837
SAM_001,SAM_079,0.3348164432939339,0.7491666775787497
SAM_035,SAM_061,0.3348208552345567,0.7491642013821237
SAM_004,SAM_051,0.3356591825051118,0.7486939880310168
SAM_008,SAM_081,0.3359948627583463,0.748505872197264
SAM_038,SAM_059,0.33641252800691,0.7482719437622853
SAM_027,SAM_059,0.3365851685680758,0.7481752929155501
SAM_004,SAM_041,0.3367910001766674,0.748060093064542
SAM_041,SAM_082,0.3370027609679185,0.7479416117854936
SAM_006,SAM_027,0.3373002657870284,0.747775219659797
SAM_001,SAM_071,0.3374356946145443,0.7476994998912491
SAM_012,SAM_052,0.3380108076674472,0.7473781185245423
SAM_088,SAM_098,0.3386559794245481,0.7470179160069735
SAM_022,SAM_030,0.3394712582826416,0.7465632381557158
SAM_033,SAM_078,0.3394722107919881,0.7465627072686571
SAM_049,SAM_079,0.3395728781867009,0.7465066039211243
SAM_051,SAM_069,0.339912310603779,0.7463174956198358
SAM_032,SAM_085,0.340136302384794,0.7461927553342776
SAM_033,SAM_041,0.3402338539886941,0.7461384422008757
SAM_021,SAM_049,0.3406997243908483,0.7458791717544013
SAM_007,SAM_017,0.3407527983744227,0.745849645969366
SAM_074,SAM_096,0.3407902834589038,0.7458287939111924
SAM_033,SAM_092,0.3410189600300839,0.7457016118381848
SAM_052,SAM_086,0.3413695172390177,0.7455067281224125
SAM_038,SAM_086,0.3415121800170529,0.7454274473954372
