Sample_1,Sample_2,Euclidean_Similarity
SAM_001,SAM_002,0.614479829
SAM_001,SAM_003,0.392971761
SAM_001,SAM_004,0.812750252
SAM_001,SAM_005,0.689580744
SAM_001,SAM_006,0.674978013
SAM_001,SAM_007,0.77208351
SAM_001,SAM_008,0.735001914
SAM_001,SAM_009,0.493065697
SAM_001,SAM_010,0.661717983
SAM_001,SAM_011,0.381638933
SAM_001,SAM_012,0.778299964
SAM_001,SAM_013,0.668774547
SAM_001,SAM_014,0.790191197
SAM_001,SAM_015,0.653804554
SAM_001,SAM_016,0.631606605
SAM_001,SAM_017,0.805068865
SAM_001,SAM_018,0.725360214
SAM_001,SAM_019,0.630041926
SAM_001,SAM_020,0.469314073
SAM_001,SAM_021,0.569982371
SAM_001,SAM_022,0.553103816
SAM_001,SAM_023,0.432549881
SAM_001,SAM_024,0.689789908
SAM_001,SAM_025,0.619038994
SAM_001,SAM_026,0.368776854
SAM_001,SAM_027,0.820803289
SAM_001,SAM_028,0.723459347
SAM_001,SAM_029,0.503600427
SAM_001,SAM_030,0.544731969
SAM_001,SAM_031,0.570014968
SAM_001,SAM_032,0.601349603
SAM_001,SAM_033,0.744154736
SAM_001,SAM_034,0.474314676
SAM_001,SAM_035,0.682256211
SAM_001,SAM_036,0.615979529
SAM_001,SAM_037,0.657943915
SAM_001,SAM_038,0.803946501
SAM_001,SAM_039,0.781967291
SAM_001,SAM_040,0.593579723
SAM_001,SAM_041,0.833785988
SAM_001,SAM_042,0.450571548
SAM_001,SAM_043,0.716117335
SAM_001,SAM_044,0.658977784
SAM_001,SAM_045,0.768363108
SAM_001,SAM_046,0.562289829
SAM_001,SAM_047,0.723177225
SAM_001,SAM_048,0.639685158
SAM_001,SAM_049,0.705026494
SAM_001,SAM_050,0.677211032
SAM_001,SAM_051,0.790696644
SAM_001,SAM_052,0.680806757
SAM_001,SAM_053,0.370614005
SAM_001,SAM_054,0.772957657
SAM_001,SAM_055,0.661823485
SAM_001,SAM_056,0.751405933
SAM_001,SAM_057,0.695195983
SAM_001,SAM_058,0.776734027
SAM_001,SAM_059,0.838850309
SAM_001,SAM_060,0.749543129
SAM_001,SAM_061,0.770988486
SAM_001,SAM_062,0.696291005
SAM_001,SAM_063,0.604779676
SAM_001,SAM_064,0.671777482
SAM_001,SAM_065,0.539768226
SAM_001,SAM_066,0.331483625
SAM_001,SAM_067,0.589091056
SAM_001,SAM_068,0.657801444
SAM_001,SAM_069,0.646339345
SAM_001,SAM_070,0.624358343
SAM_001,SAM_071,0.798065666
SAM_001,SAM_072,0.690326218
SAM_001,SAM_073,0.734060594
SAM_001,SAM_074,0.651078643
SAM_001,SAM_075,0.710354751
SAM_001,SAM_076,0.682299669
SAM_001,SAM_077,0.429186766
SAM_001,SAM_078,0.72512953
SAM_001,SAM_079,0.801199295
SAM_001,SAM_080,0.549127791
SAM_001,SAM_081,0.750097353
SAM_001,SAM_082,0.73246468
SAM_001,SAM_083,0.560438245
SAM_001,SAM_084,0.257431112
SAM_001,SAM_085,0.472461097
SAM_001,SAM_086,0.839784098
SAM_001,SAM_087,0.309762503
SAM_001,SAM_088,0.758977694
SAM_001,SAM_089,0.751137746
SAM_001,SAM_090,0.715015753
SAM_001,SAM_091,0.615855789
SAM_001,SAM_092,0.695887353
SAM_001,SAM_093,0.631325814
SAM_001,SAM_094,0.709031279
SAM_001,SAM_095,0.775167527
SAM_001,SAM_096,0.738761911
SAM_001,SAM_097,0.650106524
SAM_001,SAM_098,0.644861027
SAM_001,SAM_099,0.753816285
SAM_001,SAM_100,0.625874147
SAM_002,SAM_003,0.302745373
SAM_002,SAM_004,0.557825507
SAM_002,SAM_005,0.615561378
SAM_002,SAM_006,0.725185623
SAM_002,SAM_007,0.620227753
SAM_002,SAM_008,0.657485491
SAM_002,SAM_009,0.442814344
SAM_002,SAM_010,0.528442029
SAM_002,SAM_011,0.379592611
SAM_002,SAM_012,0.674724803
SAM_002,SAM_013,0.554303412
SAM_002,SAM_014,0.560988389
SAM_002,SAM_015,0.456587139
SAM_002,SAM_016,0.646856876
SAM_002,SAM_017,0.538890971
SAM_002,SAM_018,0.472526798
SAM_002,SAM_019,0.531203081
SAM_002,SAM_020,0.183050603
SAM_002,SAM_021,0.62838084
SAM_002,SAM_022,0.528915891
SAM_002,SAM_023,0.588978705
SAM_002,SAM_024,0.558969419
SAM_002,SAM_025,0.517656872
SAM_002,SAM_026,0.381573302
SAM_002,SAM_027,0.688448645
SAM_002,SAM_028,0.444318651
SAM_002,SAM_029,0.400813393
SAM_002,SAM_030,0.580594788
SAM_002,SAM_031,0.370748374
SAM_002,SAM_032,0.44336273
SAM_002,SAM_033,0.640003114
SAM_002,SAM_034,0.496623652
SAM_002,SAM_035,0.539195773
SAM_002,SAM_036,0.522437218
SAM_002,SAM_037,0.443309713
SAM_002,SAM_038,0.697284415
SAM_002,SAM_039,0.664645847
SAM_002,SAM_040,0.574553236
SAM_002,SAM_041,0.637248938
SAM_002,SAM_042,0.180728124
SAM_002,SAM_043,0.609944015
SAM_002,SAM_044,0.434913219
SAM_002,SAM_045,0.572922887
SAM_002,SAM_046,0.496477244
SAM_002,SAM_047,0.416650436
SAM_002,SAM_048,0.467176242
SAM_002,SAM_049,0.641570411
SAM_002,SAM_050,0.55539678
SAM_002,SAM_051,0.567299323
SAM_002,SAM_052,0.615324424
SAM_002,SAM_053,0.384927903
SAM_002,SAM_054,0.624153068
SAM_002,SAM_055,0.53556783
SAM_002,SAM_056,0.537905376
SAM_002,SAM_057,0.473994574
SAM_002,SAM_058,0.510759307
SAM_002,SAM_059,0.773490412
SAM_002,SAM_060,0.663587425
SAM_002,SAM_061,0.535891901
SAM_002,SAM_062,0.599385251
SAM_002,SAM_063,0.475537693
SAM_002,SAM_064,0.509129485
SAM_002,SAM_065,0.527780301
SAM_002,SAM_066,0.182424191
SAM_002,SAM_067,0.377439743
SAM_002,SAM_068,0.53470444
SAM_002,SAM_069,0.62951405
SAM_002,SAM_070,0.476227399
SAM_002,SAM_071,0.519482029
SAM_002,SAM_072,0.449110972
SAM_002,SAM_073,0.637308705
SAM_002,SAM_074,0.425994278
SAM_002,SAM_075,0.50438078
SAM_002,SAM_076,0.751504144
SAM_002,SAM_077,0.325629566
SAM_002,SAM_078,0.586920612
SAM_002,SAM_079,0.591788603
SAM_002,SAM_080,0.30439945
SAM_002,SAM_081,0.513211698
SAM_002,SAM_082,0.670341706
SAM_002,SAM_083,0.581716267
SAM_002,SAM_084,0.179093813
SAM_002,SAM_085,0.410026366
SAM_002,SAM_086,0.579991549
SAM_002,SAM_087,0.18286248
SAM_002,SAM_088,0.828996832
SAM_002,SAM_089,0.668705065
SAM_002,SAM_090,0.80785441
SAM_002,SAM_091,0.414390571
SAM_002,SAM_092,0.547835687
SAM_002,SAM_093,0.396631092
SAM_002,SAM_094,0.614657579
SAM_002,SAM_095,0.486393477
SAM_002,SAM_096,0.529522898
SAM_002,SAM_097,0.529431876
SAM_002,SAM_098,0.624336886
SAM_002,SAM_099,0.692960079
SAM_002,SAM_100,0.456480821
SAM_003,SAM_004,0.500988751
SAM_003,SAM_005,0.384256631
SAM_003,SAM_006,0.435948289
SAM_003,SAM_007,0.352730001
SAM_003,SAM_008,0.378836188
SAM_003,SAM_009,0.201743917
SAM_003,SAM_010,0.353286401
SAM_003,SAM_011,0.104079155
SAM_003,SAM_012,0.390882893
SAM_003,SAM_013,0.350276569
SAM_003,SAM_014,0.488171892
SAM_003,SAM_015,0.406905596
SAM_003,SAM_016,0.302666121
SAM_003,SAM_017,0.379717058
SAM_003,SAM_018,0.425772448
SAM_003,SAM_019,0.344872475
SAM_003,SAM_020,0.105461376
SAM_003,SAM_021,0.279124986
SAM_003,SAM_022,0.279641559
SAM_003,SAM_023,0.413088648
SAM_003,SAM_024,0.442964098
SAM_003,SAM_025,0.427643315
SAM_003,SAM_026,0.105225316
SAM_003,SAM_027,0.412865857
SAM_003,SAM_028,0.277426929
SAM_003,SAM_029,0.361324844
SAM_003,SAM_030,0.305301172
SAM_003,SAM_031,0.277269926
SAM_003,SAM_032,0.310860783
SAM_003,SAM_033,0.433803916
SAM_003,SAM_034,0.404720371
SAM_003,SAM_035,0.373965958
SAM_003,SAM_036,0.431358957
SAM_003,SAM_037,0.402185416
SAM_003,SAM_038,0.455329926
SAM_003,SAM_039,0.36039432
SAM_003,SAM_040,0.314803409
SAM_003,SAM_041,0.410518402
SAM_003,SAM_042,0.103302931
SAM_003,SAM_043,0.45171462
SAM_003,SAM_044,0.278832021
SAM_003,SAM_045,0.378123224
SAM_003,SAM_046,0.278945026
SAM_003,SAM_047,0.318301726
SAM_003,SAM_048,0.362882957
SAM_003,SAM_049,0.335996465
SAM_003,SAM_050,0.453472261
SAM_003,SAM_051,0.331699265
SAM_003,SAM_052,0.357617824
SAM_003,SAM_053,0.105413797
SAM_003,SAM_054,0.381253629
SAM_003,SAM_055,0.512590008
SAM_003,SAM_056,0.442054157
SAM_003,SAM_057,0.507913911
SAM_003,SAM_058,0.451098776
SAM_003,SAM_059,0.369045301
SAM_003,SAM_060,0.462890927
SAM_003,SAM_061,0.576535172
SAM_003,SAM_062,0.370115447
SAM_003,SAM_063,0.304333056
SAM_003,SAM_064,0.386046042
SAM_003,SAM_065,0.384432632
SAM_003,SAM_066,0.104879273
SAM_003,SAM_067,0.520597722
SAM_003,SAM_068,0.348432748
SAM_003,SAM_069,0.314469823
SAM_003,SAM_070,0.440323101
