Sample_1,Sample_2,Jaccard_Similarity
SAM_001,SAM_002,0.1666666666666666
SAM_001,SAM_003,0.0
SAM_001,SAM_004,0.4
SAM_001,SAM_005,0.3571428571428571
SAM_001,SAM_006,0.3333333333333333
SAM_001,SAM_007,0.3333333333333333
SAM_001,SAM_008,0.3076923076923077
SAM_001,SAM_009,0.0909090909090909
SAM_001,SAM_010,0.1428571428571428
SAM_001,SAM_011,0.1
SAM_001,SAM_012,0.3571428571428571
SAM_001,SAM_013,0.2307692307692307
SAM_001,SAM_014,0.4615384615384615
SAM_001,SAM_015,0.3636363636363636
SAM_001,SAM_016,0.3333333333333333
SAM_001,SAM_017,0.4615384615384615
SAM_001,SAM_018,0.2142857142857142
SAM_001,SAM_019,0.1538461538461538
SAM_001,SAM_020,0.2222222222222222
SAM_001,SAM_021,0.1818181818181818
SAM_001,SAM_022,0.1818181818181818
SAM_001,SAM_023,0.0909090909090909
SAM_001,SAM_024,0.25
SAM_001,SAM_025,0.1538461538461538
SAM_001,SAM_026,0.1
SAM_001,SAM_027,0.3571428571428571
SAM_001,SAM_028,0.4444444444444444
SAM_001,SAM_029,0.0
SAM_001,SAM_030,0.0769230769230769
SAM_001,SAM_031,0.1818181818181818
SAM_001,SAM_032,0.1666666666666666
SAM_001,SAM_033,0.2142857142857142
SAM_001,SAM_034,0.0
SAM_001,SAM_035,0.2142857142857142
SAM_001,SAM_036,0.1818181818181818
SAM_001,SAM_037,0.1538461538461538
SAM_001,SAM_038,0.4166666666666667
SAM_001,SAM_039,0.3333333333333333
SAM_001,SAM_040,0.1666666666666666
SAM_001,SAM_041,0.3333333333333333
SAM_001,SAM_042,0.2222222222222222
SAM_001,SAM_043,0.3125
SAM_001,SAM_044,0.3
SAM_001,SAM_045,0.3571428571428571
SAM_001,SAM_046,0.0833333333333333
SAM_001,SAM_047,0.3636363636363636
SAM_001,SAM_048,0.1333333333333333
SAM_001,SAM_049,0.3636363636363636
SAM_001,SAM_050,0.2142857142857142
SAM_001,SAM_051,0.5
SAM_001,SAM_052,0.2142857142857142
SAM_001,SAM_053,0.1
SAM_001,SAM_054,0.4285714285714285
SAM_001,SAM_055,0.1538461538461538
SAM_001,SAM_056,0.25
SAM_001,SAM_057,0.3333333333333333
SAM_001,SAM_058,0.3846153846153846
SAM_001,SAM_059,0.7
SAM_001,SAM_060,0.3333333333333333
SAM_001,SAM_061,0.3571428571428571
SAM_001,SAM_062,0.1333333333333333
SAM_001,SAM_063,0.25
SAM_001,SAM_064,0.3636363636363636
SAM_001,SAM_065,0.0833333333333333
SAM_001,SAM_066,0.1
SAM_001,SAM_067,0.2727272727272727
SAM_001,SAM_068,0.1538461538461538
SAM_001,SAM_069,0.4545454545454545
SAM_001,SAM_070,0.1666666666666666
SAM_001,SAM_071,0.3571428571428571
SAM_001,SAM_072,0.4
SAM_001,SAM_073,0.3333333333333333
SAM_001,SAM_074,0.25
SAM_001,SAM_075,0.5
SAM_001,SAM_076,0.1538461538461538
SAM_001,SAM_077,0.0909090909090909
SAM_001,SAM_078,0.25
SAM_001,SAM_079,0.5454545454545454
SAM_001,SAM_080,0.2
SAM_001,SAM_081,0.2857142857142857
SAM_001,SAM_082,0.2
SAM_001,SAM_083,0.0714285714285714
SAM_001,SAM_084,0.0
SAM_001,SAM_085,0.0
SAM_001,SAM_086,0.5
SAM_001,SAM_087,0.1
SAM_001,SAM_088,0.4166666666666667
SAM_001,SAM_089,0.2222222222222222
SAM_001,SAM_090,0.2727272727272727
SAM_001,SAM_091,0.1666666666666666
SAM_001,SAM_092,0.2307692307692307
SAM_001,SAM_093,0.1666666666666666
SAM_001,SAM_094,0.3636363636363636
SAM_001,SAM_095,0.4166666666666667
SAM_001,SAM_096,0.4166666666666667
SAM_001,SAM_097,0.1538461538461538
SAM_001,SAM_098,0.25
SAM_001,SAM_099,0.4166666666666667
SAM_001,SAM_100,0.2857142857142857
SAM_002,SAM_003,0.0
SAM_002,SAM_004,0.2142857142857142
SAM_002,SAM_005,0.3636363636363636
SAM_002,SAM_006,0.2307692307692307
SAM_002,SAM_007,0.3333333333333333
SAM_002,SAM_008,0.1818181818181818
SAM_002,SAM_009,0.1428571428571428
SAM_002,SAM_010,0.2
SAM_002,SAM_011,0.1666666666666666
SAM_002,SAM_012,0.1538461538461538
SAM_002,SAM_013,0.0909090909090909
SAM_002,SAM_014,0.0714285714285714
SAM_002,SAM_015,0.1
SAM_002,SAM_016,0.3333333333333333
SAM_002,SAM_017,0.0714285714285714
SAM_002,SAM_018,0.0
SAM_002,SAM_019,0.2222222222222222
SAM_002,SAM_020,0.0
SAM_002,SAM_021,0.2857142857142857
SAM_002,SAM_022,0.125
SAM_002,SAM_023,0.3333333333333333
SAM_002,SAM_024,0.375
SAM_002,SAM_025,0.1
SAM_002,SAM_026,0.1666666666666666
SAM_002,SAM_027,0.3636363636363636
SAM_002,SAM_028,0.125
SAM_002,SAM_029,0.0
SAM_002,SAM_030,0.25
SAM_002,SAM_031,0.0
SAM_002,SAM_032,0.1111111111111111
SAM_002,SAM_033,0.3
SAM_002,SAM_034,0.125
SAM_002,SAM_035,0.0833333333333333
SAM_002,SAM_036,0.125
SAM_002,SAM_037,0.0
SAM_002,SAM_038,0.1818181818181818
SAM_002,SAM_039,0.3333333333333333
SAM_002,SAM_040,0.25
SAM_002,SAM_041,0.2307692307692307
SAM_002,SAM_042,0.0
SAM_002,SAM_043,0.2142857142857142
SAM_002,SAM_044,0.125
SAM_002,SAM_045,0.25
SAM_002,SAM_046,0.125
SAM_002,SAM_047,0.0
SAM_002,SAM_048,0.0
SAM_002,SAM_049,0.2222222222222222
SAM_002,SAM_050,0.1818181818181818
SAM_002,SAM_051,0.2222222222222222
SAM_002,SAM_052,0.3
SAM_002,SAM_053,0.1666666666666666
SAM_002,SAM_054,0.3333333333333333
SAM_002,SAM_055,0.1
SAM_002,SAM_056,0.1
SAM_002,SAM_057,0.0909090909090909
SAM_002,SAM_058,0.0769230769230769
SAM_002,SAM_059,0.3
SAM_002,SAM_060,0.3333333333333333
SAM_002,SAM_061,0.0714285714285714
SAM_002,SAM_062,0.1818181818181818
SAM_002,SAM_063,0.2222222222222222
SAM_002,SAM_064,0.1
SAM_002,SAM_065,0.125
SAM_002,SAM_066,0.0
SAM_002,SAM_067,0.0
SAM_002,SAM_068,0.2222222222222222
SAM_002,SAM_069,0.2
SAM_002,SAM_070,0.1111111111111111
SAM_002,SAM_071,0.0714285714285714
SAM_002,SAM_072,0.1111111111111111
SAM_002,SAM_073,0.2307692307692307
SAM_002,SAM_074,0.1
SAM_002,SAM_075,0.0769230769230769
SAM_002,SAM_076,0.375
SAM_002,SAM_077,0.1428571428571428
SAM_002,SAM_078,0.2222222222222222
SAM_002,SAM_079,0.1818181818181818
SAM_002,SAM_080,0.0
SAM_002,SAM_081,0.0769230769230769
SAM_002,SAM_082,0.2727272727272727
SAM_002,SAM_083,0.2222222222222222
SAM_002,SAM_084,0.0
SAM_002,SAM_085,0.125
SAM_002,SAM_086,0.1666666666666666
SAM_002,SAM_087,0.0
SAM_002,SAM_088,0.4444444444444444
SAM_002,SAM_089,0.2857142857142857
SAM_002,SAM_090,0.4285714285714285
SAM_002,SAM_091,0.0
SAM_002,SAM_092,0.2
SAM_002,SAM_093,0.0
SAM_002,SAM_094,0.2222222222222222
SAM_002,SAM_095,0.1818181818181818
SAM_002,SAM_096,0.0833333333333333
SAM_002,SAM_097,0.1
SAM_002,SAM_098,0.2222222222222222
SAM_002,SAM_099,0.3
SAM_002,SAM_100,0.0769230769230769
SAM_003,SAM_004,0.1538461538461538
SAM_003,SAM_005,0.0
SAM_003,SAM_006,0.0769230769230769
SAM_003,SAM_007,0.0
SAM_003,SAM_008,0.0
SAM_003,SAM_009,0.0
SAM_003,SAM_010,0.0
SAM_003,SAM_011,0.0
SAM_003,SAM_012,0.0833333333333333
SAM_003,SAM_013,0.0
SAM_003,SAM_014,0.0833333333333333
SAM_003,SAM_015,0.125
SAM_003,SAM_016,0.0
SAM_003,SAM_017,0.0
SAM_003,SAM_018,0.1
SAM_003,SAM_019,0.0
SAM_003,SAM_020,0.0
SAM_003,SAM_021,0.0
SAM_003,SAM_022,0.0
SAM_003,SAM_023,0.2
SAM_003,SAM_024,0.125
SAM_003,SAM_025,0.125
SAM_003,SAM_026,0.0
SAM_003,SAM_027,0.0833333333333333
SAM_003,SAM_028,0.0
SAM_003,SAM_029,0.1428571428571428
